mjd, bright, cum_bright, dark, cum_dark
60881.0, 0.00, 3237.26, 11.11, 4698.78
60882.0, 0.00, 3237.26, 11.09, 4709.87
60883.0, 0.00, 3237.26, 11.08, 4720.95
60884.0, 0.00, 3237.26, 11.06, 4732.01
60885.0, 0.00, 3237.26, 11.04, 4743.05
60886.0, 0.00, 3237.26, 11.03, 4754.08
60887.0, 4.60, 3241.86, 6.41, 4760.48
60888.0, 5.51, 3247.37, 5.49, 4765.97
60889.0, 6.43, 3253.80, 4.55, 4770.52
60890.0, 7.37, 3261.17, 3.58, 4774.10
60891.0, 8.32, 3269.49, 2.62, 4776.72
60892.0, 9.25, 3278.75, 1.67, 4778.38
60893.0, 10.13, 3288.88, 0.77, 4779.15
60894.0, 10.88, 3299.76, 0.00, 4779.15
60895.0, 10.86, 3310.62, 0.00, 4779.15
60896.0, 10.84, 3321.47, 0.00, 4779.15
60899.0, 9.28, 3330.75, 1.50, 4780.65
60900.0, 8.21, 3338.95, 2.55, 4783.20
60901.0, 7.11, 3346.07, 3.63, 4786.83
60902.0, 5.98, 3352.05, 4.73, 4791.56
60903.0, 4.82, 3356.87, 5.87, 4797.43
60904.0, 3.65, 3360.52, 7.02, 4804.46
60905.0, 0.00, 3360.52, 10.65, 4815.11
60906.0, 0.00, 3360.52, 10.63, 4825.73
